gene_id	gene_name	sampleGSM461176	sampleGSM461177	sampleGSM461178	sampleGSM461179	sampleGSM461180	sampleGSM461181	sampleGSM461182
FBgn0267594	CR45932	0	0	0	0	0	0	0
FBgn0259849	Su(Ste):CR42418	0	0	0	0	0	0	0
FBgn0085494	Mst77Y-16Psi	0	0	0	0	0	0	0
FBgn0085506	CG40635	0	0	0	0	0	0	0
FBgn0259870	Su(Ste):CR42439	0	0	0	0	0	0	0
FBgn0259817	SteXh:CG42398	0	2	5	0	2	2	1
FBgn0085511	lncRNA:CR40719	0	0	0	0	0	0	0
FBgn0259864	Su(Ste):CR42433	0	0	0	0	0	0	0
FBgn0259837	Su(Ste):CR42406	0	0	0	0	0	0	0
FBgn0085692	CG41561	1	0	0	1	0	0	0
FBgn0267595	CR45933	0	0	0	0	0	0	0
FBgn0085540	lncRNA:CR40947	0	0	0	0	0	0	0
FBgn0259842	Su(Ste):CR42411	0	0	0	0	0	0	0
FBgn0259839	Su(Ste):CR42408	0	0	0	0	0	0	0
FBgn0259840	Su(Ste):CR42409	0	0	0	0	0	0	0
FBgn0267596	CR45934	0	0	0	0	0	0	0
FBgn0031208	CR11023	15	8	2	16	4	4	1
FBgn0002121	l(2)gl	4612	4611	3287	3998	3175	3663	4366
FBgn0031209	Ir21a	1	2	0	3	0	4	2
FBgn0263584	asRNA:CR43609	1	2	0	2	0	4	2
FBgn0051973	Cda5	325	394	321	312	290	390	309
FBgn0267987	lncRNA:CR46254	0	0	0	0	0	0	1
FBgn0266878	lncRNA:CR45339	0	0	0	0	0	0	0
FBgn0266879	lncRNA:CR45340	0	0	0	0	0	0	0
FBgn0067779	dbr	869	690	640	814	573	685	758
FBgn0266322	asRNA:CR44987	227	239	229	275	284	275	302
FBgn0031213	galectin	894	1069	977	1157	892	1065	1129
FBgn0031214	CG11374	11	13	4	10	11	11	13
FBgn0002931	net	244	245	196	235	192	190	253
FBgn0031216	Zir	952	883	675	1017	711	774	1020
FBgn0031217	Creld	781	882	1062	828	1080	1492	1251
FBgn0026787	Nhe1	327	320	377	252	299	380	418
FBgn0005278	Sams	2661	2777	2709	2850	2647	3439	3176
FBgn0031228	ND-15	10145	10906	10740	9583	10482	12683	11034
FBgn0031219	CG13694	97	91	52	85	68	50	81
FBgn0031220	CG4822	3075	3029	2787	3700	3569	4071	3268
FBgn0288229	CG3164	5232	5899	5911	4120	4933	6228	6083
FBgn0266304	asRNA:CR44969	1578	1641	1779	1485	1419	1641	2020
FBgn0001142	Gs1	382	570	566	395	471	597	208
FBgn0265074	lncRNA:CR44185	2	2	0	1	4	0	2
FBgn0265075	lncRNA:CR44186	0	2	2	0	0	2	0
FBgn0051975	CG31975	83	99	102	102	95	117	33
FBgn0051976	ovm	83	99	102	102	95	117	33
FBgn0051974	CG31974	41	60	59	62	72	68	56
FBgn0031224	CG11454	400	366	407	350	471	560	366
FBgn0259818	CG42399	84	114	77	73	60	83	70
FBgn0031227	Pus10	151	109	109	134	113	102	166
FBgn0031229	CG3436	524	473	535	516	433	596	577
FBgn0053635	CG33635	98	90	100	120	77	91	110
FBgn0016977	spen	16678	17854	11313	12379	12283	13413	9233
FBgn0031231	mRpL10	182	177	256	213	246	343	268
FBgn0031232	CG11617	13	7	10	13	10	4	10
FBgn0031233	Tbc1d15-17	333	405	342	322	353	378	331
FBgn0266557	kis	17498	20424	13971	15658	16359	17400	14240
FBgn0265151	lncRNA:CR44220	1	0	0	3	3	3	4
FBgn0265153	lncRNA:CR44222	118	137	68	84	89	101	145
FBgn0265152	lncRNA:CR44221	197	272	184	202	287	311	184
FBgn0263465	snoRNA:CD66	2	0	0	6	0	0	0
FBgn0031235	CG13693	201	218	175	180	216	205	177
FBgn0262252	mir-965	0	0	0	0	0	0	0
FBgn0265149	lncRNA:CR44218	24	27	24	31	23	40	14
FBgn0283652	Rpp30	79	62	82	85	88	105	83
FBgn0031238	Dus1	307	342	336	274	394	488	319
FBgn0031239	CG17075	30	26	21	27	24	12	24
FBgn0265150	lncRNA:CR44219	3	0	2	3	0	0	0
FBgn0031240	CG3345	5	7	7	4	13	12	8
FBgn0086912	mbm	443	380	512	333	406	531	528
FBgn0086856	CG11555	258	209	187	257	201	256	228
FBgn0086855	CG17078	620	697	648	597	779	887	673
FBgn0003444	smo	667	629	587	767	676	778	594
FBgn0031244	CG11601	259	290	299	282	287	411	336
FBgn0031245	CG3625	166	181	218	256	293	383	170
FBgn0267995	asRNA:CR46262	42	81	93	107	119	154	86
FBgn0267996	asRNA:CR46263	11	6	16	9	11	10	21
FBgn0025686	Amnionless	3	0	4	2	0	4	5
FBgn0031247	CG11562	164	129	174	156	201	254	120
FBgn0017457	U2af38	872	918	975	568	892	1212	880
FBgn0024352	Stip1	4807	4094	4602	4209	4674	6110	4503
FBgn0020622	Pi3K21B	1346	1338	1126	1187	1060	1199	1317
FBgn0004611	Plc21C	1400	1454	1153	1480	1196	1428	1260
FBgn0263872	lncRNA:CR43719	21	31	28	25	24	26	15
FBgn0031248	CG11912	2	4	0	1	4	5	1
FBgn0031249	CG11911	1	2	4	2	2	2	0
FBgn0053127	CG33127	5	13	3	12	15	21	10
FBgn0264086	CG43755	25	25	31	16	24	35	13
FBgn0051921	CG31921	2	2	2	2	0	2	1
FBgn0031250	Ent1	521	632	625	518	597	654	606
FBgn0266907	asRNA:CR45367	293	336	323	297	326	367	350
FBgn0266906	asRNA:CR45366	143	205	203	125	176	185	173
FBgn0000061	al	1	2	5	4	2	2	1
FBgn0263871	lncRNA:CR43718	0	0	0	0	0	0	0
FBgn0031251	CG4213	3	4	8	6	8	13	1
FBgn0003278	Polr1B	803	803	833	720	764	948	867
FBgn0264855	AP-2alpha	2273	2404	2166	2317	2497	2856	2373
FBgn0263933	ebi	1759	2129	2001	1582	2030	2451	2063
FBgn0031252	CG13690	541	514	479	382	478	614	498
FBgn0002593	RpLP1	20017	29916	30586	19226	28544	37058	31364
FBgn0031253	CG11885	177	162	235	199	239	266	275
FBgn0031254	CG13692	72	103	101	71	76	95	83
FBgn0031255	BBS8	40	72	51	23	37	48	38
FBgn0004583	ex	3874	3986	3169	3338	3908	4704	3671
FBgn0263870	lncRNA:CR43717	2	4	2	2	3	4	1
FBgn0015924	crq	2223	2159	2171	1978	1935	2334	2317
FBgn0031256	shv	1422	2049	2150	1523	2074	2809	1798
FBgn0262510	CR43080	265	156	131	195	114	132	226
FBgn0031257	CG4133	1339	1922	1597	1191	2047	2454	1382
FBgn0031258	CG4297	281	295	224	139	100	118	247
FBgn0027592	MED15	1465	1805	1574	1085	1518	1972	1644
FBgn0003963	ush	15728	17516	13153	10126	10879	12484	11859
FBgn0043364	cbt	2425	1753	1709	840	713	1000	1532
FBgn0267991	lncRNA:CR46258	420	544	411	611	731	797	530
FBgn0267992	lncRNA:CR46259	725	925	583	174	158	221	474
FBgn0010602	lwr	1908	2126	2245	1524	2126	2933	2066
FBgn0031260	Spp	2046	2709	2879	1976	3096	3986	2890
FBgn0005660	Ets21C	2295	4465	4476	1363	3186	4288	3605
FBgn0031261	nAChRbeta3	2180	4270	4313	1178	2825	3847	3454
FBgn0260933	rempA	1620	2363	2363	2111	3191	4170	1965
FBgn0031263	Tspo	1407	1710	1826	1759	2105	2885	1425
FBgn0031264	uncNacbeta	13	11	13	3	10	10	8
FBgn0031265	CG2794	555	576	614	516	629	794	535
FBgn0021874	Nle	533	704	625	429	610	856	646
FBgn0031266	Sf3b1	1442	1969	1722	1293	1818	2090	1671
FBgn0031267	Ipk2	510	621	713	410	578	731	637
FBgn0031268	cold	97	135	111	187	203	272	132
FBgn0013323	Ptth	3	10	6	5	5	8	3
FBgn0023489	Pph13	1	0	0	3	2	6	2
FBgn0010323	Gsc	1	0	3	2	2	0	3
FBgn0267827	lncRNA:CR46148	0	0	0	0	0	0	0
FBgn0031270	CG13689	57	24	34	54	27	56	50
FBgn0263657	lncRNA:CR43648	0	0	0	0	0	0	0
FBgn0263658	lncRNA:CR43649	0	0	0	0	0	0	0
FBgn0040106	lectin-21Cb	0	0	0	0	0	0	1
FBgn0266032	lncRNA:CR44797	0	0	0	0	0	0	0
FBgn0266033	lncRNA:CR44798	0	0	0	0	0	0	0
FBgn0040107	lectin-21Ca	1	0	0	0	0	0	0
FBgn0031273	CG2839	0	0	1	0	0	2	0
FBgn0266909	lncRNA:CR45369	0	0	0	0	0	0	0
FBgn0284247	ds	46	34	31	62	24	37	45
FBgn0266323	lncRNA:CR44988	0	0	0	0	0	2	0
FBgn0267993	lncRNA:CR46260	0	2	0	0	0	0	0
FBgn0011244	Hsp60B	0	0	0	0	0	0	0
FBgn0026438	Eaat2	0	0	4	1	0	0	0
FBgn0031275	GABA-B-R3	2	2	1	3	3	0	2
FBgn0265825	lncRNA:CR44614	0	0	0	0	0	0	0
FBgn0031276	CG12506	0	0	0	1	0	0	0
FBgn0040725	CG13946	0	0	0	0	0	0	0
FBgn0031277	CG13947	0	0	0	0	0	0	0
FBgn0041250	Gr21a	0	0	0	0	0	0	1
FBgn0031279	CG3544	2	6	4	4	0	12	4
FBgn0000442	Pkg21D	3	6	4	4	2	12	2
FBgn0266797	lncRNA:CR45259	0	0	0	0	0	0	0
FBgn0051658	Nnf1b	214	181	278	243	252	395	226
FBgn0086130	Dbp21E2	312	331	387	268	413	543	332
FBgn0031281	Saf6	195	229	221	193	246	381	234
FBgn0031282	Pex12	152	155	195	147	157	218	181
FBgn0031283	CG15880	12	10	13	12	3	16	12
FBgn0031284	PGAP2	192	205	259	254	253	334	285
FBgn0015621	Clp	493	737	710	464	773	1055	632
FBgn0031285	CG3662	3729	4526	4818	2340	3536	4531	4092
FBgn0031286	CG3862	291	434	428	252	454	552	307
FBgn0010583	dock	1440	2208	1855	1216	1866	2211	2218
FBgn0020304	drongo	4924	6791	5772	4108	5948	7690	4572
FBgn0264869	lncRNA:CR44060	321	287	254	351	305	324	315
FBgn0031287	CG4291	237	273	310	201	293	408	250
FBgn0020545	kraken	916	1954	1899	787	1495	2122	1620
FBgn0031288	CG13949	4	2	11	3	4	6	4
FBgn0266884	lncRNA:CR45345	5	14	12	7	5	2	7
FBgn0262177	mir-375	1	0	0	0	0	0	0
FBgn0031289	CG13950	3	7	4	1	6	6	4
FBgn0029095	aru	3743	6876	6222	2682	4541	6298	5525
FBgn0020305	dbe	715	701	714	552	713	916	663
FBgn0053526	PNUTS	2437	2937	2764	2272	2527	3207	2429
FBgn0031292	CG15824	26	33	31	13	25	32	17
FBgn0002936	ninaA	6	7	13	1	2	5	3
FBgn0266887	lncRNA:CR45348	1	0	0	0	2	0	0
FBgn0002563	Lsp1beta	4	2	6	4	10	8	3
FBgn0003916	snRNA:U1:21D	5	0	0	21	2	0	0
FBgn0286735	scaRNA:MeU1:95C-A24	0	0	0	0	0	0	0
FBgn0266799	lncRNA:CR45261	0	0	0	0	0	0	0
FBgn0264870	lncRNA:CR44061	0	1	0	0	0	0	0
FBgn0046113	GluRIIC	0	0	2	0	2	2	2
FBgn0028481	Tmtc2	1	3	2	5	5	0	1
FBgn0266036	lncRNA:CR44801	1	0	2	0	0	0	0
FBgn0031294	IA-2	19	33	25	17	27	46	13
FBgn0287617	asRNA:CR46486	0	0	0	0	0	0	0
FBgn0031295	CG4375	0	0	0	0	0	0	0
FBgn0031296	gNacalpha	17	28	20	15	26	46	12
FBgn0003310	S	1338	2028	1561	1360	1835	2387	1696
FBgn0015905	ast	810	901	907	733	912	1032	782
FBgn0031298	Atg4a	976	1465	1390	921	1443	1961	1144
FBgn0031299	CG4629	176	207	194	162	176	225	204
FBgn0261938	PolrMT	951	1356	1346	896	1416	1753	1186
FBgn0031301	CG14339	4	6	6	1	5	11	8
FBgn0031302	CG14340	73	65	60	84	69	89	78
FBgn0016926	Pino	1187	1262	1301	948	1047	1292	1576
FBgn0031304	TBC1D23	1591	2346	2292	1116	1948	2716	1896
FBgn0031305	Iris	7	10	20	22	20	16	29
FBgn0031306	Spar	4	2	11	3	0	6	3
FBgn0267281	lncRNA:CR45717	3	24	17	8	42	49	9
FBgn0031307	MFS3	1066	1942	1926	1568	3080	4177	1226
FBgn0283525	l(2)10685	206	258	336	190	325	417	274
FBgn0031309	Tfb4	437	577	535	320	541	862	491
FBgn0031310	Vps29	1008	1048	1056	1153	1230	1670	1096
FBgn0261458	capt	4872	8087	7061	5281	7575	9612	7337
FBgn0264267	asRNA:CR43767	589	1091	1131	547	1145	1658	858
FBgn0031312	Tango14	989	1762	1777	884	1788	2459	1429
FBgn0031313	CG5080	1375	2400	2262	893	1483	1887	2109
FBgn0031314	IntS14	399	470	549	339	543	689	445
FBgn0031315	CG14341	242	202	301	267	274	350	236
FBgn0024314	Plap	1322	1978	1961	1308	2170	2843	1845
FBgn0051922	Snrnp20	59	55	36	84	60	74	89
FBgn0031317	Charon	941	860	933	829	991	1344	707
FBgn0031318	CG4887	1428	1983	1849	1183	1983	2665	1533
FBgn0031319	CG4896	638	910	877	655	921	1135	864
FBgn0031320	CG5126	183	265	244	179	366	373	337
FBgn0031321	Tgt	193	393	390	159	327	476	338
FBgn0031322	CG5001	544	705	781	191	264	455	639
FBgn0031323	CG5139	0	3	0	0	0	0	1
FBgn0263080	CG43348	0	0	2	2	0	2	1
FBgn0263081	CG43349	2	2	4	0	0	2	7
FBgn0040723	CG5011	2	2	3	1	1	2	1
FBgn0031324	CG14342	0	0	0	0	0	0	0
FBgn0266885	lncRNA:CR45346	0	0	0	0	0	0	0
FBgn0262944	lncRNA:CR43263	0	0	0	0	0	0	0
FBgn0259229	CG42329	807	549	369	789	470	489	635
FBgn0031327	CG5397	371	711	732	812	1490	1796	399
FBgn0041097	robo3	1	0	0	1	0	6	3
FBgn0011294	a5	0	0	0	0	0	0	0
FBgn0031331	CG5440	0	0	0	0	0	0	0
FBgn0053923	CG33923	0	0	0	0	0	0	0
FBgn0053922	CG33922	0	0	0	0	0	0	0
FBgn0026141	Cdlc2	0	0	0	0	0	0	0
FBgn0266357	lncRNA:CR45005	0	0	0	0	0	0	0
FBgn0266358	lncRNA:CR45006	0	0	0	0	0	0	0
FBgn0031332	CG5556	0	0	0	0	0	0	0
FBgn0031333	CG5561	0	0	0	0	0	0	0
FBgn0051924	CG31924	0	0	0	0	0	0	0
FBgn0031335	CG5565	0	2	0	0	0	0	0
FBgn0051659	CG31659	0	0	0	1	0	0	0
FBgn0053126	NLaz	4	8	11	2	4	8	12
FBgn0031337	CG14346	0	0	2	1	0	4	0
FBgn0266203	lncRNA:CR44898	73	68	27	151	84	82	28
FBgn0002543	robo2	842	1324	926	1189	1630	1921	484
FBgn0266202	asRNA:CR44897	85	205	137	108	328	350	48
FBgn0263320	CG43401	0	0	0	2	4	2	0
FBgn0263321	CG43402	1	10	2	2	2	6	1
FBgn0051928	CG31928	2	2	0	0	1	2	0
FBgn0053128	CG33128	1	0	2	1	2	0	3
FBgn0051926	CG31926	0	0	2	0	2	0	0
FBgn0051661	CG31661	2	0	0	1	0	0	1
FBgn0031343	CG18131	3	4	6	2	6	4	3
FBgn0031344	CG7420	200	294	283	185	248	303	240
FBgn0264873	asRNA:CR44064	200	294	285	185	248	303	240
FBgn0031345	CG18132	0	0	0	1	0	0	0
FBgn0001174	halo	1	0	2	1	0	0	0
FBgn0026398	Or22a	0	2	0	2	0	0	0
FBgn0026397	Or22b	1	0	0	0	0	0	0
FBgn0261509	haf	385	385	354	310	331	426	330
FBgn0031347	nis	3	3	2	3	5	4	1
FBgn0051935	Rab3GAP1	546	601	606	451	517	665	506
FBgn0031351	CG14352	86	81	114	138	119	120	105
FBgn0021906	RFeSP	1876	3039	2878	1565	2698	3363	2402
FBgn0265814	lncRNA:CR44603	31	29	16	21	17	13	7
FBgn0267259	lncRNA:CR45695	5	6	4	6	0	2	5
FBgn0086758	chinmo	12601	13381	9583	9018	8161	10305	8199
FBgn0011570	cpb	2630	3157	2910	2128	2691	3592	2819
FBgn0031356	CG17660	938	1609	1598	941	1690	2102	1988
FBgn0266311	asRNA:CR44976	180	395	445	253	496	541	491
FBgn0031357	mRpL48	207	321	382	188	360	477	378
FBgn0086698	frtz	332	586	535	286	566	809	460
FBgn0031359	Rim2	791	1108	950	430	572	695	889
FBgn0000579	Eno	6160	10570	9697	7513	14391	18433	8258
FBgn0260648	Rrp40	273	268	355	288	353	435	283
FBgn0031360	CG31937	423	726	875	542	911	1252	887
FBgn0031361	CG17652	157	123	137	101	152	167	149
FBgn0264494	CG17646	421	544	445	406	414	679	391
FBgn0027597	CG17712	321	417	442	486	700	890	400
FBgn0031364	CG17648	2	2	0	1	0	0	1
FBgn0041249	Gr22f	0	0	0	0	0	0	0
FBgn0031365	CG17650	2	0	4	1	2	0	3
FBgn0045497	Gr22e	0	0	0	0	0	0	0
FBgn0045498	Gr22d	0	0	0	0	0	0	0
FBgn0265138	Gr22c	0	0	0	0	0	0	0
FBgn0045500	Gr22b	0	0	0	0	0	0	0
FBgn0045501	Gr22a	0	0	0	0	0	0	0
FBgn0051933	CG31933	0	0	0	0	0	0	0
FBgn0051664	CG31664	1	1	2	0	2	0	2
FBgn0031367	c-cup	0	0	0	0	0	0	0
FBgn0262275	mir-2280	0	0	0	0	0	0	0
FBgn0051665	wry	1	0	0	1	0	0	0
FBgn0264882	lncRNA:CR44073	0	0	0	0	0	0	0
FBgn0264883	lncRNA:CR44074	0	0	0	0	0	0	0
FBgn0051663	CG31663	4	10	6	11	21	13	1
FBgn0031372	CG7295	0	0	0	0	0	0	0
FBgn0264884	lncRNA:CR44075	0	0	0	0	0	0	0
FBgn0031373	CG15358	0	0	0	0	0	0	0
FBgn0031374	Wdr62	2136	3644	2815	1329	1933	2320	3603
FBgn0011859	tRNA:Gly-GCC-1-1	0	0	3	0	0	0	0
FBgn0040719	CG15357	1	0	0	0	0	0	0
FBgn0053673	CG33673	1	0	2	0	0	0	0
FBgn0031375	erm	1	0	0	0	0	0	1
FBgn0051942	tRNA:Arg-TCT-2-1	0	0	0	0	0	0	0
FBgn0267972	Der-1	1021	1406	1568	918	1440	1905	1757
FBgn0031377	CG15356	755	1031	905	629	940	1208	825
FBgn0031378	CG15362	131	135	151	136	165	222	158
FBgn0031379	CG7289	1097	1297	1393	943	1387	1874	1512
FBgn0001125	Got2	1937	3260	3161	1611	3024	3918	3308
FBgn0031381	Npc2a	2728	4267	4913	3709	5022	6505	4769
FBgn0262148	lncRNA:CR42874	17	21	18	30	15	14	18
FBgn0043539	Obp22a	1	0	0	2	0	0	1
FBgn0053543	elff	2	6	4	2	14	4	10
FBgn0263441	asRNA:CR43464	0	0	0	1	8	2	7
FBgn0040718	CG15353	0	0	2	1	0	0	0
FBgn0267276	asRNA:CR45712	1	0	2	1	0	0	2
FBgn0040717	Nplp4	0	3	0	0	3	4	0
FBgn0051943	tRNA:Gln-CTG-2-2	0	1	0	0	0	0	0
FBgn0051944	tRNA:Gln-CTG-2-3	0	0	0	0	0	0	0
FBgn0031384	CG4238	83	85	103	93	158	145	117
FBgn0051939	tRNA:Gln-CTG-2-4	0	0	0	0	0	0	0
FBgn0051940	tRNA:Gln-CTG-3-1	0	0	0	1	0	0	0
FBgn0051669	tRNA:Gln-CTG-2-5	0	0	0	0	0	0	0
FBgn0286732	snoRNA:CD72	0	0	0	0	0	0	1
FBgn0011860	tRNA:Gly-GCC-1-2	0	0	0	0	0	0	0
FBgn0259192	CG42296	3	4	2	1	1	4	4
FBgn0259230	lectin-22C	1	0	2	0	0	2	1
FBgn0003557	Su(dx)	2990	4040	3467	2271	3014	3651	3371
FBgn0266836	lncRNA:CR45298	7	1	8	3	2	1	8
FBgn0028952	Kebab	94	69	91	96	100	120	83
FBgn0026396	Or22c	11	10	5	4	6	2	10
FBgn0053516	dpr3	1359	1716	1258	721	759	985	1476
FBgn0031388	Paf1L	8	9	13	4	1	3	12
FBgn0266043	lncRNA:CR44808	2	0	0	0	0	7	0
FBgn0264864	lncRNA:CR44055	2	6	3	2	1	4	3
FBgn0031389	CG4259	2677	2647	3114	2663	2247	2492	4381
FBgn0004507	Glyp	1402	1806	1759	1994	3404	4408	1150
FBgn0031390	tho2	2513	3482	3122	2382	3314	3894	3211
FBgn0031391	CG11723	258	225	238	279	340	349	295
FBgn0027509	Tbcd	1743	2093	2014	1866	2394	2654	2125
FBgn0031392	AIF	977	1066	975	867	1046	1379	1176
FBgn0031393	CG15382	81	97	93	178	74	69	130
FBgn0000097	aop	3517	4811	3766	3364	4220	5055	3471
FBgn0265017	lncRNA:CR43751	4	0	4	4	3	2	4
FBgn0264875	lncRNA:CR44066	1	4	0	5	2	0	0
FBgn0051946	tRNA:Arg-TCT-3-1	0	1	0	0	0	0	0
FBgn0266828	lncRNA:CR45290	8	18	11	6	11	13	14
FBgn0031395	CG10874	523	670	627	598	757	1016	688
FBgn0264874	asRNA:CR44065	314	436	429	331	482	677	457
FBgn0085201	COX7AL2	4	0	2	2	4	0	0
FBgn0051668	CG31668	27	35	37	36	34	48	40
FBgn0053124	CG33124	47	49	51	45	70	64	74
FBgn0031397	CG15385	18	40	42	17	17	24	36
FBgn0010288	Uch	1138	1624	1706	1244	1706	2579	1650
FBgn0085203	CG34174	80	40	70	73	55	54	74
FBgn0031398	daed	113	111	138	100	131	195	120
FBgn0040715	CG15386	166	212	239	163	204	270	235
FBgn0259717	CG42371	166	212	239	163	204	270	235
FBgn0031399	mio	740	1090	1024	545	868	1203	981
FBgn0031401	papi	923	1042	1008	950	1125	1484	1006
FBgn0031403	CG15387	155	109	119	196	158	170	172
FBgn0267378	sau	3011	2544	2711	2634	2750	3465	3057
FBgn0264945	asRNA:CR44114	1028	891	882	751	878	1134	1043
FBgn0262126	Sec24CD	3771	4883	4534	3418	4925	6036	4550
FBgn0264946	asRNA:CR44115	404	481	413	309	458	534	409
FBgn0051679	Tengl3	0	2	0	1	0	0	1
FBgn0052463	Tengl2	0	2	0	0	2	0	0
FBgn0051682	Tengl1	0	0	0	0	0	3	0
FBgn0264979	CG4267	148	228	242	112	183	222	356
FBgn0262106	lncRNA:CR42859	1	0	1	1	10	1	4
FBgn0011832	Ser12	0	0	0	0	0	0	0
FBgn0042186	CG17239	0	0	0	0	0	0	1
FBgn0042187	CG17234	0	0	0	0	0	0	0
FBgn0031406	Send1	0	0	0	0	0	0	0
FBgn0266022	lncRNA:CR44787	0	0	0	0	0	0	0
FBgn0266023	lncRNA:CR44788	0	0	0	0	0	0	0
FBgn0031407	CG4270	0	0	0	0	0	0	0
FBgn0054049	CG34049	0	0	0	0	0	0	0
FBgn0250841	CG17242	0	0	0	0	0	0	0
FBgn0264084	lncRNA:CR43753	0	0	0	0	0	0	1
FBgn0264085	lncRNA:CR43754	2	5	0	2	1	0	1
FBgn0031409	CG4271	0	1	2	0	2	0	1
FBgn0051681	CG31681	0	0	0	0	0	2	0
FBgn0261523	CG42658	0	0	2	0	0	0	0
FBgn0031410	CG17237	1	0	0	1	0	0	0
FBgn0028570	robl22E	0	0	0	0	0	0	0
FBgn0051949	CG31949	0	0	0	1	0	0	0
FBgn0031412	CG16995	3	3	7	8	20	21	7
FBgn0031413	CG9967	187	283	207	230	280	295	227
FBgn0031414	eys	111	163	129	183	150	154	119
FBgn0014010	Rab5	3754	3553	3372	2910	2898	3985	3667
FBgn0261647	Axud1	1082	1488	1159	764	1157	1316	1020
FBgn0031417	CG3597	3	5	6	1	6	5	2
FBgn0031418	CG3609	1082	1932	1985	774	1670	2444	1633
FBgn0031419	Mterf4	44	38	39	29	31	37	40
FBgn0266317	asRNA:CR44982	42	31	31	24	25	31	32
FBgn0031420	Atxn7	509	867	760	416	769	1006	670
FBgn0264672	Eogt	238	317	315	245	403	560	318
FBgn0031422	PIG-Wa	30	67	62	59	54	90	102
FBgn0031423	CG3557	0	0	0	0	0	0	1
FBgn0264081	CG43750	0	0	0	0	0	0	0
FBgn0287218	CG46448	0	0	0	0	0	0	0
FBgn0031424	VGlut1	0	0	0	0	0	0	1
FBgn0031426	CG18641	2	0	2	0	0	2	1
FBgn0051948	CG31948	0	0	0	0	0	0	0
FBgn0085477	CG34448	0	0	0	0	0	0	0
FBgn0085476	CG34447	2	0	2	0	2	2	0
FBgn0031428	CG9886	63	106	86	88	94	154	92
FBgn0264988	CG44139	0	0	0	0	2	0	0
FBgn0266217	lncRNA:CR44912	13	11	9	46	20	22	7
FBgn0000490	dpp	247	294	241	368	459	492	175
FBgn0012017	tRNA:Tyr-GTA-1-2	0	1	0	0	0	0	0
FBgn0012016	tRNA:Tyr-GTA-1-3	0	0	0	0	0	0	1
FBgn0266824	lncRNA:CR45286	0	0	0	0	0	0	0
FBgn0264978	Slh	945	1193	1202	846	1275	1719	1050
FBgn0011818	oaf	598	810	730	535	727	1006	792
FBgn0265818	lncRNA:CR44607	0	0	0	0	0	0	0
FBgn0031430	CG3528	0	0	0	0	0	0	0
FBgn0267738	asRNA:CR46069	0	0	0	0	0	0	0
FBgn0264943	lncRNA:CR44112	0	0	0	0	0	0	0
FBgn0031431	CG3515	0	0	0	0	0	0	0
FBgn0264944	lncRNA:CR44113	0	0	0	0	0	0	0
FBgn0031432	Cyp309a1	5	6	6	6	5	8	3
FBgn0041337	Cyp309a2	4845	3051	2040	4179	1538	1682	2008
FBgn0026778	Rad1	120	134	119	115	120	137	127
FBgn0085343	Sws1	120	134	119	115	120	137	127
FBgn0031434	insv	39	45	59	30	42	67	30
FBgn0031435	Elba2	28	34	38	23	74	69	37
FBgn0031436	ND-B17.2	414	763	903	357	993	1394	786
FBgn0031437	Arpc5	912	1315	1344	776	1300	1804	1135
FBgn0026479	Drp1	1554	2428	2313	1554	2647	3394	2255
FBgn0250835	CG15394	1	0	2	0	2	0	0
FBgn0266025	lncRNA:CR44790	0	0	0	0	0	0	0
FBgn0266024	lncRNA:CR44789	0	0	0	0	0	0	0
FBgn0031440	CG15395	0	0	0	0	0	0	0
FBgn0263322	CG43403	1	0	0	0	0	0	0
FBgn0267269	lncRNA:TS11	0	0	0	0	0	0	0
FBgn0284414	lncRNA:CR46328	0	0	0	0	0	0	0
FBgn0284413	lncRNA:TS4	0	0	0	0	0	0	0
FBgn0264434	lncRNA:CR43852	0	0	0	0	0	0	0
FBgn0031441	CG9962	0	0	0	0	0	0	0
FBgn0264433	CG43851	0	0	0	0	0	0	0
FBgn0053125	CG33125	0	0	0	0	0	0	0
FBgn0031442	Prosbeta4R1	0	0	0	0	0	0	0
FBgn0026395	Or23a	0	0	0	0	0	0	0
FBgn0031443	Prosbeta4R2	0	0	0	0	0	0	0
FBgn0031444	Trf4	0	0	0	0	0	0	0
FBgn0286882	CR46404	0	0	0	0	0	0	0
FBgn0041248	Gr23a	0	0	0	0	0	0	0
FBgn0051690	Tmtc1	2	4	1	4	8	3	8
FBgn0031446	Trf5	0	2	0	0	2	0	2
FBgn0031449	CG31689	2393	3109	2484	1030	1242	1563	2775
FBgn0263564	mir-4914	1	7	7	0	5	3	8
FBgn0031450	Hrs	1349	2257	1911	1213	2127	2883	1973
FBgn0031451	Pgk2	12	12	20	20	31	28	16
FBgn0031452	Cwc25	789	727	766	655	595	796	595
FBgn0250906	Pgk	1909	3148	3108	2855	4620	5999	2741
FBgn0031453	Bacc	1890	2225	1801	2666	2126	2718	2095
FBgn0265997	lncRNA:CR44772	3	2	1	4	1	2	1
FBgn0031454	HemK2	225	394	402	237	387	551	331
FBgn0031455	Snapin	225	394	402	237	387	551	331
FBgn0031456	Tnpo-SR	541	725	718	512	742	912	643
FBgn0031457	Snx21	587	757	667	502	795	1069	648
FBgn0031458	aph-1	632	751	904	695	926	1163	929
FBgn0026324	Taf10b	193	232	318	226	311	390	334
FBgn0028398	Taf10	371	492	508	264	467	622	498
FBgn0019830	colt	467	846	771	510	862	1085	772
FBgn0031459	HINT1	1187	1407	1588	1204	2075	2542	1662
