gene_id	gene_name	sampleGSM461176	sampleGSM461177	sampleGSM461178	sampleGSM461179	sampleGSM461180	sampleGSM461181	sampleGSM461182
FBgn0052283	Drsl3	0	0	0	0	0	0	0
FBgn0052282	Drsl4	0	0	0	0	1	0	0
FBgn0035434	Drsl5	2	1	2	1	1	0	1
FBgn0035435	PIG-C	103	135	106	90	118	161	149
FBgn0035436	Nmrk	529	771	759	609	741	1050	755
FBgn0259933	Dpm2	529	771	759	609	741	1050	755
FBgn0035437	Strip	6106	8190	8239	5910	8851	11887	7670
FBgn0035438	Gtpx	3655	4324	4538	3813	5120	7224	4235
FBgn0266929	lncRNA:CR45380	29	38	45	46	42	58	30
FBgn0035439	CG14961	523	663	625	455	696	1045	380
FBgn0035440	Ostm1	1017	1287	1323	1194	1382	1734	1664
FBgn0052274	Drsl1	0	0	0	2	0	1	0
FBgn0052268	Drsl6	14	15	18	12	13	17	33
FBgn0004167	kst	52019	70785	54968	41355	63018	65728	52126
FBgn0283461	Drs	9	9	11	14	16	18	19
FBgn0027616	Ythdc1	1792	2563	2277	1625	2387	3163	1827
FBgn0035443	CG12010	159	186	182	187	221	248	184
FBgn0035444	CG12012	602	733	652	595	656	801	696
FBgn0035445	Ids	94	97	112	86	121	123	49
FBgn0267301	lncRNA:CR45737	4	1	2	4	2	4	5
FBgn0014388	sty	31418	37024	28160	24381	25906	34360	21446
FBgn0262260	mir-2282	11	28	8	10	4	8	4
FBgn0026259	eIF5B	7030	9965	8497	6155	8256	10911	7425
FBgn0287594	CG46463	2350	2779	2767	2600	2943	3318	3256
FBgn0041164	armi	2350	2779	2767	2600	2943	3318	3256
FBgn0010317	CycJ	1	4	8	3	4	12	10
FBgn0035449	CG14971	663	902	903	661	1001	1243	1113
FBgn0052267	Tom5	208	188	179	422	190	211	433
FBgn0259224	CG42324	2053	366	321	4533	581	737	194
FBgn0262484	CG43074	2	4	0	6	0	2	2
FBgn0001254	ImpE2	1	0	2	0	4	0	0
FBgn0005640	Eip63E	12246	11135	8882	25996	13942	14989	11887
FBgn0266403	lncRNA:CR45043	5	2	2	1	0	2	0
FBgn0267470	lncRNA:CR45820	50	66	59	112	80	126	44
FBgn0053504	snRNA:U7	0	0	0	0	1	0	2
FBgn0035452	CG10359	478	491	516	525	602	739	622
FBgn0035453	CG10357	1	0	0	0	2	2	0
FBgn0040694	CG14974	0	0	0	0	0	0	0
FBgn0263239	dar1	19	8	6	8	12	10	12
FBgn0035455	CG10862	1	0	0	0	0	0	1
FBgn0262544	CG43098	0	0	0	0	0	0	0
FBgn0263495	lncRNA:CR43484	8	0	5	5	7	2	0
FBgn0263496	lncRNA:CR43485	0	0	0	0	0	0	0
FBgn0267235	lncRNA:CR45675	0	0	0	0	0	0	0
FBgn0262535	CG43089	0	0	0	0	0	0	0
FBgn0052264	CG32264	1204	2001	1320	968	1333	1892	1420
FBgn0035458	ppk27	0	0	1	0	2	2	1
FBgn0052266	CG32266	0	1	0	0	0	1	0
FBgn0035461	ntc	133	116	105	130	133	140	149
FBgn0035462	IntS10	176	223	199	183	235	296	236
FBgn0052262	CG32262	90	110	155	83	164	209	136
FBgn0052263	CG32263	0	0	2	0	0	0	2
FBgn0035464	PIG-B	894	1363	1300	1068	1531	1853	1435
FBgn0004888	Scsalpha1	1892	2997	3028	1935	3208	4174	2815
FBgn0264553	lncRNA:CR43932	0	0	2	1	0	0	1
FBgn0266394	lncRNA:CR45034	1	1	0	0	3	1	1
FBgn0015585	Acp63F	0	0	0	0	1	0	1
FBgn0004875	enc	3569	5367	3701	2629	4558	5773	3646
FBgn0064227	Rdh	2	6	0	5	0	2	4
FBgn0013751	Awh	1	0	2	3	0	2	0
FBgn0266928	lncRNA:CR45379	0	0	0	0	0	0	0
FBgn0264518	lncRNA:CR43917	0	0	0	0	0	0	0
FBgn0266971	lncRNA:CR45422	0	0	0	0	0	0	0
FBgn0026592	Fie	26	40	45	22	22	30	21
FBgn0083987	snRNA:U11	4	11	10	4	10	12	4
FBgn0035468	Gr63a	2	8	8	6	7	0	3
FBgn0035469	Lamtor4	299	297	289	276	311	406	334
FBgn0035470	Ccz1	147	155	202	133	179	237	206
FBgn0003943	Ubi-p63E	13127	17525	17827	14621	21356	26193	16506
FBgn0035471	Tecr	836	1436	1476	939	1650	2077	1489
FBgn0041147	ida	90	151	167	122	203	271	193
FBgn0035473	mge	1029	1107	1102	918	1116	1370	1166
FBgn0004910	Eip63F-1	5	4	3	4	0	2	5
FBgn0004911	asRNA:Eig63F-2	0	0	0	0	0	0	1
FBgn0035475	CG10866	105	116	113	88	102	178	115
FBgn0035476	Ar6	20	23	22	19	23	28	29
FBgn0264517	asRNA:CR43916	332	224	307	164	203	264	312
FBgn0027552	Ar3	971	1375	1529	486	1075	1599	1574
FBgn0035477	CG14982	133	203	222	101	191	242	162
FBgn0035478	CG10853	0	0	0	0	0	0	0
FBgn0035479	CG14983	0	0	0	0	0	0	0
FBgn0035480	CG14984	161	207	209	180	125	260	251
FBgn0035481	scrape	2	4	4	0	6	12	6
FBgn0264516	CG43915	0	0	0	0	0	0	0
FBgn0004880	scrt	1	0	0	4	3	2	0
FBgn0035482	CG14985	220	281	246	216	266	306	218
FBgn0004895	FoxL1	0	0	0	1	0	2	0
FBgn0035483	Mul1	184	223	251	165	309	349	264
FBgn0035484	CG11594	56	60	68	52	90	64	92
FBgn0045479	Gr64a	0	2	0	2	0	0	1
