,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
ID=FBgn0000003,581.5538981194264,0.5060476812596223,0.2926225035757413,1.729353262568334,0.08374588938781301,0.3957872436577539
ID=FBgn0000008,198.640785310361,-0.2258869722215566,0.19114782030182761,-1.1817397230314994,0.23730899150118212,0.68015728478578
ID=FBgn0000017,8129.732193953695,-0.25770942187378676,0.24162496898275362,-1.0665678425485126,0.28616702813340245,0.7290874224540707
ID=FBgn0000018,506.8390363131708,-0.049217633826506575,0.13892147069118196,-0.35428385246450367,0.7231261678608014,0.9454881069486756
ID=FBgn0000032,1198.7926842118727,-0.07050452522236328,0.15352266844683443,-0.4592450478854157,0.6460582045215637,0.9211465593942317
ID=FBgn0000042,103401.96498337586,0.32052207188540804,0.153603776855492,2.0866809296424407,0.036916986241258,0.24357466096941902
ID=FBgn0000043,38809.12617838862,0.65473099624691,0.11325231727708346,5.781170858032363,7.418250154852297e-09,4.552272534050824e-07
ID=FBgn0000044,462.62998831580313,0.5980497640491228,1.1773180147891062,0.5079763976568826,0.6114698955721041,0.9123096998968654
ID=FBgn0000046,1586.9187911439435,0.3820087621239073,1.0908773847948554,0.3501848763651341,,
ID=FBgn0000052,2862.483556757946,-0.11933227090355615,0.14701545751547546,-0.8116988031071136,0.4169644813090715,0.8299704390614112
ID=FBgn0000053,2439.4445361510307,0.3005293882032319,0.20889046775403544,1.4386936437765057,0.15023734102498482,0.5480867327484704
ID=FBgn0000057,828.1171804556069,0.01630623062218491,0.12016038534993195,0.13570388089799965,0.8920553795927242,0.9845156660506501
ID=FBgn0000063,481.41560361703944,0.2071720853617776,0.12250262504649434,1.6911644569506001,0.09080539731179169,0.41377831540055665
ID=FBgn0000064,9706.664144492348,0.3213962484538786,0.09266725506731127,3.4682828170579145,0.0005237957224333951,0.009642951494944551
ID=FBgn0000071,412.27197037741513,2.736374275109929,0.2023715724100513,13.521534880232123,1.1671495003467214e-41,8.809644428617052e-39
ID=FBgn0000077,257.1498678016017,0.009057020978090058,0.1666155412577575,0.054358800563980215,0.9566493026824626,0.9947529057509015
ID=FBgn0000078,168.59757873323738,-1.3771954018672166,0.3009810894600907,-4.575687477036091,4.7465868081182196e-06,0.00016285107830761966
ID=FBgn0000079,312.89122496949443,-1.0584149254833208,0.3652651474568079,-2.897661966526596,0.0037595555918955004,0.04634386568747782
ID=FBgn0000083,6846.212532650299,-0.013624442993575006,0.1541267547824339,-0.08839765044561755,0.9295606286601281,0.9886934512048614
ID=FBgn0000084,2239.075719571151,-0.15555375966258397,0.21115993391347526,-0.7366632333116924,0.46132717081095176,0.8559707094768482
ID=FBgn0000097,3990.8391390416023,0.014551034396652453,0.1393321302494229,0.10443416296445178,0.9168248127735198,0.9845883954920309
ID=FBgn0000100,30655.504085854333,-0.13297946950250789,0.13488314159238202,-0.985886508370134,0.32418880815359463,0.7623036326225757
ID=FBgn0000108,120.26179746620743,0.12737556529858396,0.32120828148267744,0.39655131153725637,0.6916983625143371,0.9391867674506597
ID=FBgn0000109,164.2795325440578,-0.21374354436074258,0.30146779515766203,-0.7090095452781572,0.47831855343667984,0.8618897725151737
ID=FBgn0000114,1207.6302246005419,1.3161625728509017,1.4418186479349224,0.912848904219685,,
